event,xcenter,ycenter,total_points,type,start_time,end_time,area,duration
1,681020.6011315363,7464780.230935896,34,road_closed,1553204340000.0,1554076560000.0,364499.13275356684,242283.33333333334
2,676168.1353871946,7466165.850656804,47,road_closed,1551545700000.0,1551574620000.0,134792.22750638414,8033.333333333333
3,686701.2718661774,7464828.621231271,17,road_closed,1552136100000.0,1552179360000.0,56254.14672170066,12016.666666666666
4,679384.9229749041,7473090.486736356,56,road_closed,1550743560000.0,1554076560000.0,49362.774178138214,925833.3333333334
5,685029.5433642588,7456946.0805131765,20,road_closed,1550922900000.0,1550941560000.0,51689.816029348214,5183.333333333333
6,686121.7868005311,7461280.091220543,60,road_closed,1552244100000.0,1552266480000.0,159318.6238606103,6216.666666666667
7,686659.5606912927,7465585.657610341,400,road_closed,1553396100000.0,1553444340000.0,1406559.9292146056,13400.0
8,686060.9260394817,7458211.575182651,828,road_closed,1546246500000.0,1546866180000.0,10339469.74405047,172133.33333333334
9,675307.7431291401,7466070.40754176,15,road_closed,1551545700000.0,1551567360000.0,40300.20283237573,6016.666666666667
10,684705.2339700612,7465344.137937911,387,road_closed,1552139220000.0,1554076560000.0,2998141.700999817,538150.0
11,673252.4474497825,7473003.752214223,38,road_closed,1551027300000.0,1551049140000.0,10526.689908904355,6066.666666666667
12,672407.2417515721,7467708.78882239,16,road_closed,1551632100000.0,1551653940000.0,52711.90987302395,6066.666666666667
13,679876.4168386899,7464723.531559488,16,road_closed,1552244100000.0,1552266480000.0,4670.475361954575,6216.666666666667
14,682624.165140154,7464844.022065506,7,weatherhazard,1550458680000.0,1550522520000.0,0.0,17733.333333333332
15,678962.4963152523,7461731.9083491545,13,road_closed,1551552900000.0,1551574620000.0,44308.8110155385,6033.333333333333
16,686809.3222237446,7460826.532930327,8,weatherhazard,1551741240000.0,1552061640000.0,0.0,89000.0
17,682200.2394790594,7464356.456143515,119,road_closed,1550930100000.0,1550970840000.0,1618009.1585008614,11316.666666666666
18,687210.1075130162,7465868.912880283,34,road_closed,1551005700000.0,1551215460000.0,197928.99840445985,58266.666666666664
19,686838.8862339144,7460773.069945008,10,weatherhazard,1547634900000.0,1548039420000.0,10259.101007311547,112366.66666666667
20,677034.2962862166,7469950.6001985865,28,road_closed,1552408500000.0,1552425120000.0,112038.78386045447,4616.666666666667
21,686781.3094865162,7462319.029328908,6,road_closed,1552136100000.0,1552157760000.0,6202.457527552946,6016.666666666667
22,684743.8120894224,7465264.775183082,452,road_closed,1551449460000.0,1551859200000.0,2749672.3929313575,113816.66666666667
23,687205.3825298476,7465929.0551383775,107,road_closed,1551520500000.0,1551547380000.0,34340.617274013865,7466.666666666667
24,677034.2962862167,7469950.600198587,28,road_closed,1551991200000.0,1552061640000.0,112038.78386045447,19566.666666666668
25,686789.3547003743,7463520.270451333,6,road_closed,1550065020000.0,1550084160000.0,121.22520007658,5316.666666666667
26,680824.3050320587,7455869.428809209,8,road_closed,1549718880000.0,1549722360000.0,48604.877616636746,966.6666666666666
27,680951.4983489101,7463773.077371155,19,road_closed,1551473700000.0,1551488640000.0,37955.698395252824,4150.0
28,681849.368611262,7458335.16847943,9,road_closed,1551700560000.0,1551725760000.0,8447.133904424209,7000.0
29,674623.9623054989,7466342.850293101,17,road_closed,1552150500000.0,1552172160000.0,75395.54759812962,6016.666666666667
30,678576.6588626815,7455559.2486558305,12,road_closed,1550069760000.0,1550478420000.0,1115.133584681118,113516.66666666667
31,684384.9504861555,7466354.574437584,28,road_closed,1550948100000.0,1550963640000.0,81419.1459019208,4316.666666666667
32,679659.1489642457,7472561.685840807,13,road_closed,1544583180000.0,1550432460000.0,1891.646171389194,1624800.0
33,677021.315134672,7469937.681568735,49,road_closed,1552747680000.0,1554076560000.0,112038.78386045447,369133.3333333333
34,686206.5476215481,7465414.491164145,14,road_closed,1551009420000.0,1551029220000.0,97647.2000075109,5500.0
35,676122.9907127507,7466241.99448888,26,road_closed,1551722100000.0,1551735780000.0,82617.34981944173,3800.0
36,684257.6675491988,7465104.229196881,81,road_closed,1552529460000.0,1552705860000.0,134.96837874424455,49000.0
37,679788.2075468538,7470446.755971183,45,road_closed,1549464480000.0,1549466940000.0,55703.14555432742,683.3333333333334
38,686196.8298716521,7466182.939913888,39,road_closed,1544715780000.0,1548080640000.0,6588.761565950383,934683.3333333334
39,686401.4486962735,7465650.668230014,20,road_closed,1551808500000.0,1551832140000.0,10810.802417456089,6566.666666666667
40,683845.0776532099,7456847.839480168,70,road_closed,1551023700000.0,1551049140000.0,464223.45220635657,7066.666666666667
41,686281.2335406691,7460127.990267765,13,road_closed,1551718500000.0,1551735720000.0,47610.62828283824,4783.333333333333
42,685371.9377122839,7457086.78262502,19,road_closed,1551567300000.0,1551567360000.0,258670.4091143937,16.666666666666668
43,684971.5719849656,7465379.5536935795,9,road_closed,1551146100000.0,1551167760000.0,109550.002153863,6016.666666666667
44,685294.0574060946,7460587.281308725,19,road_closed,1552161300000.0,1552175760000.0,76637.60194753806,4016.6666666666665
45,682476.7114747888,7467663.853857642,31,road_closed,1544583180000.0,1554076560000.0,17126.801462387804,2637050.0
46,682571.497515828,7464171.785991198,19,road_closed,1551560100000.0,1551574620000.0,122854.00668618122,4033.3333333333335
47,682710.9966112417,7459288.853556742,46,road_closed,1551006900000.0,1551025560000.0,2913.017666317144,5183.333333333333
48,686110.645413715,7464130.317445722,21,road_closed,1552232040000.0,1552251720000.0,97729.37706015857,5466.666666666667
49,676546.3447788815,7466289.245102624,6,road_closed,1545168300000.0,1545180180000.0,119.92819393704576,3300.0
50,677510.8597525605,7466093.8867317615,10,hazard_on_road,1552258200000.0,1554076560000.0,107965.75779428473,505100.0
51,687388.2380749612,7465571.8956283135,30,road_closed,1551783300000.0,1551806460000.0,17772.377952075753,6433.333333333333
52,682136.0637188215,7456939.008619604,12,road_closed,1550919300000.0,1550920320000.0,245865.94636605898,283.3333333333333
53,686331.076291419,7460241.3846073,16,road_closed,1551531300000.0,1551565860000.0,80943.92718264752,9600.0
54,680934.5937891972,7455944.133334826,24,road_closed,1549531620000.0,1549659480000.0,2261.360438124073,35516.666666666664
55,682020.414634586,7458437.265283801,21,road_closed,1551006900000.0,1551025560000.0,7603.073759349063,5183.333333333333
56,680808.1766300399,7455826.471120016,12,road_closed,1549813740000.0,1549946580000.0,10524.138706444057,36900.0
57,685717.6543646593,7464263.1016786285,32,road_closed,1550915700000.0,1550937900000.0,115419.10036935544,6166.666666666667
58,679282.5457800006,7455515.569139687,9,road_closed,1550069760000.0,1550482020000.0,0.0,114516.66666666667
59,671178.7816425569,7454258.158809405,49,road_closed,1551020160000.0,1551045540000.0,52909.57888260536,7050.0
60,686767.7836965094,7465334.561404435,62,weatherhazard,1550458680000.0,1551021000000.0,189199.71388487075,156200.0
61,686989.8650322448,7459169.65319472,16,road_closed,1551466500000.0,1551488640000.0,65101.874384230374,6150.0
62,685512.0013012962,7466785.764726443,27,road_closed,1551021240000.0,1551056160000.0,298457.11872525903,9700.0
63,684971.5719849656,7465379.553693578,9,road_closed,1551318900000.0,1551340620000.0,109550.002153863,6033.333333333333
64,674609.8726133965,7466269.893368792,13,road_closed,1551894900000.0,1551905760000.0,64463.45584483404,3016.6666666666665
65,680797.7802669785,7455814.700545728,38,road_closed,1549965840000.0,1550479320000.0,10524.138706444057,142633.33333333334
66,686956.5883186954,7466082.82852921,50,road_closed,1551217920000.0,1551343980000.0,56718.8700362421,35016.666666666664
67,673973.5809871709,7468001.600526692,20,weatherhazard,1550458680000.0,1551021060000.0,0.0,156216.66666666666
68,674564.9386323509,7468215.317483577,16,road_closed,1550953980000.0,1550970840000.0,17849.802845999424,4683.333333333333
69,684247.1276456496,7456931.834421259,23,road_closed,1550339700000.0,1550359320000.0,219931.44248704138,5450.0
70,680945.4441951829,7456044.490776633,20,road_closed,1551655440000.0,1551661440000.0,64781.84026424998,1666.6666666666667
71,674081.3750966691,7473652.0823684735,18,road_closed,1551027300000.0,1551049140000.0,32889.20516169807,6066.666666666667
72,687028.8277911072,7459467.808651263,11,road_closed,1551033480000.0,1551049140000.0,37657.99112935498,4350.0
73,677339.9589905003,7469440.770504964,32,road_closed,1552157700000.0,1552179360000.0,71795.27450733725,6016.666666666667
74,685981.0576063816,7464086.4356342135,34,road_closed,1551896700000.0,1551919560000.0,172527.86195623645,6350.0
75,683916.2519875178,7456847.203517548,7,weatherhazard,1550458680000.0,1550519340000.0,0.0,16850.0
76,687384.625202111,7464556.608832935,22,road_closed,1546291560000.0,1546325820000.0,447551.3127854929,9516.666666666666
77,687241.0487986449,7465335.480146516,24,road_closed,1552211700000.0,1552251720000.0,173849.66456219542,11116.666666666666
78,686809.3235974745,7460826.643668583,26,weatherhazard,1544583180000.0,1546077360000.0,0.0,415050.0
79,686924.5808753632,7462840.162873157,28,road_closed,1551722100000.0,1551735720000.0,425548.93779470713,3783.3333333333335
80,675774.4614930514,7458357.343412275,8,road_closed,1549547700000.0,1549547880000.0,992.5690062580852,50.0
81,678768.7631068014,7463960.106460629,9,road_closed,1551646500000.0,1551672240000.0,9119.170517162338,7150.0
82,686892.3881720307,7464557.256188813,24,road_closed,1552078500000.0,1552094760000.0,59409.43250699469,4516.666666666667
83,674666.3367060914,7469791.645902688,31,road_closed,1550948100000.0,1550970840000.0,48033.02617594025,6316.666666666667
84,685558.5861185808,7464412.786988739,18,road_closed,1550861700000.0,1550883540000.0,42528.38424346132,6066.666666666667
85,685614.206790752,7457165.863691479,7,road_closed,1550314500000.0,1550336160000.0,41457.03864056697,6016.666666666667
86,686783.8408149035,7463208.083506421,7,road_closed,1551473700000.0,1551488580000.0,10070.298554592055,4133.333333333333
87,676933.0020160547,7456074.853575353,6,road_closed,1549973580000.0,1550146020000.0,0.0,47900.0
88,686905.6221852304,7463387.477555435,30,road_closed,1551527700000.0,1551570960000.0,357480.16710415145,12016.666666666666
89,685872.9401671292,7466699.595690434,16,road_closed,1551477480000.0,1551484920000.0,15437.580391588024,2066.6666666666665
90,684755.5651199083,7457932.495463133,6,road_closed,1546291560000.0,1546325820000.0,22317.85459208238,9516.666666666666
91,684930.938946511,7460433.2376663,8,road_closed,1550919300000.0,1550937900000.0,15645.392893129956,5166.666666666667
92,686928.3294314997,7460570.035810281,9,road_closed,1552150500000.0,1552172160000.0,22987.249568746905,6016.666666666667
93,682014.4172782989,7458430.433290983,11,road_closed,1552232580000.0,1552244340000.0,7603.073759349063,3266.6666666666665
94,680039.8074305726,7464714.612750376,14,road_closed,1551552960000.0,1551567360000.0,123923.02107619813,4000.0
95,687283.228540497,7465778.921351907,29,road_closed,1552125300000.0,1552147200000.0,43447.54690852946,6083.333333333333
96,677913.4814734713,7463973.081325477,29,road_closed,1551030900000.0,1551052560000.0,8193.043440455345,6016.666666666667
97,687371.2945184965,7465065.712290417,29,road_closed,1550915700000.0,1550920740000.0,474369.94992423087,1400.0
98,671885.8874736179,7468723.610134751,40,road_closed,1551804900000.0,1551828420000.0,87572.92658688907,6533.333333333333
99,677651.0466728854,7455455.934461566,7,road_closed,1550397300000.0,1550419140000.0,1948.830509803829,6066.666666666667
100,679156.2352186878,7469625.366426722,12,road_closed,1547037420000.0,1547065260000.0,396.5475086771118,7733.333333333333
101,684920.5886485453,7466016.750642294,20,road_closed,1549821300000.0,1549839360000.0,7316.238827549347,5016.666666666667
102,679953.0600911395,7464743.792290011,10,road_closed,1548375240000.0,1548382200000.0,185.1982207597107,1933.3333333333333
103,673251.0117019045,7468349.326350092,11,road_closed,1551304500000.0,1551317040000.0,65129.27922883474,3483.3333333333335
104,686797.5207714882,7460811.318249979,39,weatherhazard,1549965840000.0,1551706920000.0,121621.10338784981,483633.3333333333
105,686623.642550585,7466277.551267362,29,road_closed,1545968940000.0,1548949020000.0,2798.184031320823,827800.0
106,680131.2331578075,7462927.895418574,6,road_closed,1552236900000.0,1552251360000.0,11800.481313465112,4016.6666666666665
107,686297.2046423148,7458616.7031006515,18,road_closed,1552236900000.0,1552251720000.0,12277.040203792902,4116.666666666667
108,673261.0103630669,7454711.908868307,10,road_closed,1549617780000.0,1549660260000.0,0.0,11800.0
109,685884.0370844797,7463797.434685823,6,road_closed,1552161300000.0,1552179360000.0,17532.39823058781,5016.666666666667
110,675696.1432508143,7463935.284683751,16,road_closed,1552911960000.0,1552917360000.0,372536.0544162953,1500.0
111,670549.2567550694,7460523.185814299,17,road_closed,1551029400000.0,1551041820000.0,82636.75656114548,3450.0
112,681419.6299841776,7464879.656907104,20,road_closed,1550422500000.0,1550447760000.0,169762.21113667078,7016.666666666667
113,686642.5060782707,7458878.6310487315,10,road_closed,1551635700000.0,1551661440000.0,37419.59395038687,7150.0
114,674398.2332365352,7466669.582970966,12,road_closed,1550955300000.0,1550970840000.0,31360.772431845773,4316.666666666667
115,684586.8964454314,7463758.049326691,8,road_closed,1549636680000.0,1549663020000.0,95147.05810186679,7316.666666666667
116,680945.4441951831,7456044.490776633,20,road_closed,1554000300000.0,1554018960000.0,64781.84026424998,5183.333333333333
117,687237.1748384347,7465885.168065977,20,road_closed,1550368500000.0,1550419140000.0,39836.17086460953,14066.666666666666
118,678635.029269428,7473543.637535211,34,road_closed,1544583180000.0,1554076560000.0,19507.40642043839,2637050.0
119,685442.1049620776,7461768.57695608,14,road_closed,1551005700000.0,1551029220000.0,8248.02458911354,6533.333333333333
120,684421.9126181194,7464965.5990319755,22,road_closed,1551034500000.0,1551049140000.0,12574.42560896706,4066.6666666666665
121,686397.1719308444,7464412.452593786,6,road_closed,1551805020000.0,1551824760000.0,4942.835509803557,5483.333333333333
122,686747.0942946803,7460859.960803189,14,weatherhazard,1548055740000.0,1548481620000.0,6744.408186989881,118300.0
123,673699.7201447181,7472791.894716141,12,road_closed,1551642900000.0,1551661440000.0,117.17961908169309,5150.0
124,674985.5555722424,7468700.238754681,7,road_closed,1551538500000.0,1551560220000.0,824.491797263443,6033.333333333333
125,675370.542220031,7466316.313635533,10,road_closed,1551030300000.0,1551049140000.0,16713.943687438692,5233.333333333333
126,686616.0507195323,7465054.633890131,6,road_closed,1551966900000.0,1551985140000.0,8629.510614129289,5066.666666666667
127,685863.5378317072,7464816.898167596,14,road_closed,1551617700000.0,1551635820000.0,68241.69728773423,5033.333333333333
128,683512.4921341392,7459552.895782188,11,road_closed,1546394220000.0,1554076560000.0,0.0,2133983.3333333335
129,686809.3222237446,7460826.5329303285,26,weatherhazard,1548667980000.0,1549697880000.0,0.0,286083.3333333333
130,687206.4660591553,7464591.529534706,11,road_closed,1551693300000.0,1551735780000.0,74766.20677657999,11800.0
131,680316.7601068115,7465286.8702918645,8,road_closed,1549547940000.0,1549573260000.0,0.0,7033.333333333333
132,684895.2957426504,7466006.913591848,12,road_closed,1550861700000.0,1550879880000.0,14844.657340877551,5050.0
133,684991.3450292399,7465399.772375384,10,road_closed,1551232500000.0,1551255120000.0,109550.002153863,6283.333333333333
134,687281.9869471017,7464309.759740172,8,road_closed,1551801300000.0,1551824760000.0,10356.04893415446,6516.666666666667
135,679391.898984155,7464608.140407074,6,road_closed,1550951700000.0,1550966160000.0,19504.235483296095,4016.6666666666665
136,681844.1731201753,7458330.60734991,8,road_closed,1550310900000.0,1550333940000.0,8447.133904424209,6400.0
137,679558.2388572686,7469408.594163589,8,road_closed,1551297300000.0,1551316560000.0,15441.199714268612,5350.0
138,685008.5454739252,7460413.8976294035,13,road_closed,1551711060000.0,1551735780000.0,101403.00477111962,6866.666666666667
139,685498.5807291704,7456979.547597531,11,road_closed,1551628560000.0,1551650220000.0,64679.74524692102,6016.666666666667
140,685882.6770092706,7464904.15816719,7,road_closed,1551812100000.0,1551834000000.0,10440.719068440967,6083.333333333333
141,680103.1873427707,7462718.188164765,14,road_closed,1550339700000.0,1550361360000.0,70515.06430854398,6016.666666666667
142,688049.0647079484,7459472.4687387915,6,road_closed,1550933700000.0,1550956320000.0,0.0,6283.333333333333
143,680603.8898219317,7457374.336294132,6,road_closed,1549548540000.0,1549573260000.0,0.0,6866.666666666667
144,681544.399990071,7456817.563357125,12,road_closed,1549584480000.0,1549626960000.0,23114.245579620558,11800.0
145,678773.3829544828,7463944.042174389,6,road_closed,1551560100000.0,1551585360000.0,9119.170517162338,7016.666666666667
146,687283.4561518487,7461936.059630781,15,road_closed,1546291560000.0,1546325820000.0,391759.06779889256,9516.666666666666
147,676642.2788045408,7469185.945140398,7,road_closed,1547723820000.0,1547744280000.0,2391.0913682308665,5683.333333333333
148,678737.0551771284,7463703.765717625,11,road_closed,1551725700000.0,1551735780000.0,75178.39079089291,2800.0
149,685415.0733215815,7459166.472308869,10,road_closed,1551545700000.0,1551574620000.0,56586.80476096581,8033.333333333333
150,687518.4368732586,7460477.733185121,13,road_closed,1551034560000.0,1551052560000.0,14205.139741396088,5000.0
151,686809.3222237446,7460826.532930327,6,weatherhazard,1549813740000.0,1549946580000.0,0.0,36900.0
152,687978.7214068444,7459449.018111938,7,weatherhazard,1550458680000.0,1550522520000.0,0.0,17733.333333333332
153,684605.0373225315,7457841.8645516345,7,weatherhazard,1550458680000.0,1550522520000.0,0.0,17733.333333333332
154,682087.1754320964,7465260.220821503,6,road_closed,1552524480000.0,1552534440000.0,738.9324472311746,2766.6666666666665
155,684971.5719849655,7465379.5536935795,9,road_closed,1551405300000.0,1551427140000.0,109550.002153863,6066.666666666667
156,673261.0103630669,7454711.908868308,8,road_closed,1549558980000.0,1549605900000.0,0.0,13033.333333333334
157,671595.000096948,7454211.130117663,6,road_closed,1551524100000.0,1551570960000.0,1291.2403929923075,13016.666666666666
158,677323.0891883328,7455580.289890973,7,road_closed,1549582500000.0,1549627680000.0,212.6051514282052,12550.0
159,686809.323597475,7460826.643668578,12,weatherhazard,1546086900000.0,1547611020000.0,0.0,423366.6666666667
160,686409.2710634567,7465659.484894723,9,road_closed,1551628560000.0,1551650220000.0,6728.69469219527,6016.666666666667
161,671595.000096948,7454211.130117665,6,road_closed,1550940960000.0,1550963580000.0,1291.2403929923075,6283.333333333333
162,678500.9144740553,7455552.451832561,7,road_closed,1549712700000.0,1549727880000.0,1040.1622376311661,4216.666666666667
163,683636.495263904,7466027.683889658,8,road_closed,1544583180000.0,1547949420000.0,71311.05047930471,935066.6666666666
164,677290.7343819807,7455573.296090997,6,road_closed,1549531320000.0,1549547820000.0,1055.4693753578526,4583.333333333333
165,680008.706332867,7455381.958709934,8,road_closed,1550069760000.0,1550479320000.0,0.0,113766.66666666667
166,680603.8898219317,7457374.336294132,6,road_closed,1549973880000.0,1550174460000.0,0.0,55716.666666666664
